"sample.set","sample","ssc.g.mL","date.time","q.cms","ssc.g.L","date","q.L.s","load.g.s"
"TJR_1","1","168.8311688",2019-12-20 10:27:00,0.349666666666667,0.1688311688,"12/20/2019",349.666666666667,59.0346320237333
"TJR_1","2","66.1971831",2019-12-20 11:27:00,1.6706,0.0661971831,"12/20/2019",1670.6,110.58901408686
"TJR_1","3","62.19512195",2019-12-20 12:27:00,1.7344,0.06219512195,"12/20/2019",1734.4,107.87121951008
"TJR_1","4","69.66292135",2019-12-20 13:27:00,1.7992,0.06966292135,"12/20/2019",1799.2,125.33752809292
"TJR_1","5","100",2019-12-20 14:27:00,1.8812,0.1,"12/20/2019",1881.2,188.12
"TJR_1","6","151.25",2019-12-20 15:27:00,1.9998,0.15125,"12/20/2019",1999.8,302.46975
"TJR_1","7","139.5061728",2019-12-20 16:27:00,2.0636,0.1395061728,"12/20/2019",2063.6,287.88493819008
"TJR_1","8","147.4358974",2019-12-20 17:27:00,2.0706,0.1474358974,"12/20/2019",2070.6,305.28076915644
"TJR_1","9","178.1818182",2019-12-20 18:27:00,2.1064,0.1781818182,"12/20/2019",2106.4,375.32218185648
"TJR_1","10","122.4137931",2019-12-20 19:27:00,2.1248,0.1224137931,"12/20/2019",2124.8,260.10482757888
"TJR_1","11","126.6666667",2019-12-20 20:27:00,2.1362,0.1266666667,"12/20/2019",2136.2,270.58533340454
"TJR_1","12","98.52941176",2019-12-20 21:27:00,2.1158,0.09852941176,"12/20/2019",2115.8,208.468529401808
"TJR_1","13","1258.139535",2019-12-20 22:27:00,2.084,1.258139535,"12/20/2019",2084,2621.96279094
"TJR_1","14","3414.634146",2019-12-20 23:27:00,2.1404,3.414634146,"12/20/2019",2140.4,7308.6829260984
"TJR_1","15","2484.782609",2019-12-21 00:27:00,2.1294,2.484782609,"12/21/2019",2129.4,5291.0960876046
"TJR_1","16","2118.032787",2019-12-21 01:27:00,2.0416,2.118032787,"12/21/2019",2041.6,4324.1757379392
"TJR_1","17","1828.26087",2019-12-21 02:27:00,1.9334,1.82826087,"12/21/2019",1933.4,3534.759566058
"TJR_1","18","1371.666667",2019-12-21 03:27:00,1.8648,1.371666667,"12/21/2019",1864.8,2557.8840006216
"TJR_1","19","1132.258065",2019-12-21 04:27:00,1.89,1.132258065,"12/21/2019",1890,2139.96774285
