"sample.set","sample","ssc.g.mL","date.time","q.cms","ssc.g.L","date","q.L.s","load.g.s","ppt.cum"
"TJR_1","1","168.8311688",2019-12-20 10:27:00,2.868,0.1688311688,"12/20/2019",2868,484.2077921184,0.2
"TJR_1","2","66.1971831",2019-12-20 11:27:00,2.868,0.0661971831,"12/20/2019",2868,189.8535211308,0.2
"TJR_1","3","62.19512195",2019-12-20 12:27:00,2.868,0.06219512195,"12/20/2019",2868,178.3756097526,0.2
"TJR_1","4","69.66292135",2019-12-20 13:27:00,2.965,0.06966292135,"12/20/2019",2965,206.55056180275,0.2
"TJR_1","5","100",2019-12-20 14:27:00,2.868,0.1,"12/20/2019",2868,286.8,0.2
"TJR_1","6","151.25",2019-12-20 15:27:00,3.096,0.15125,"12/20/2019",3096,468.27,0.2
"TJR_1","7","139.5061728",2019-12-20 16:27:00,3.096,0.1395061728,"12/20/2019",3096,431.9111109888,0.2
"TJR_1","8","147.4358974",2019-12-20 17:27:00,3.3112,0.1474358974,"12/20/2019",3311.2,488.18974347088,0.2
"TJR_1","9","178.1818182",2019-12-20 18:27:00,3.365,0.1781818182,"12/20/2019",3365,599.581818243,0.2
"TJR_1","10","122.4137931",2019-12-20 19:27:00,3.365,0.1224137931,"12/20/2019",3365,411.9224137815,0.2
"TJR_1","11","126.6666667",2019-12-20 20:27:00,3.365,0.1266666667,"12/20/2019",3365,426.2333334455,0.2
"TJR_1","12","98.52941176",2019-12-20 21:27:00,3.365,0.09852941176,"12/20/2019",3365,331.5514705724,0.2
"TJR_1","13","1258.139535",2019-12-20 22:27:00,3.365,1.258139535,"12/20/2019",3365,4233.639535275,0.2
"TJR_1","14","3414.634146",2019-12-20 23:27:00,3.4474,3.414634146,"12/20/2019",3447.4,11771.6097549204,0.2
"TJR_1","15","2484.782609",2019-12-21 00:27:00,3.365,2.484782609,"12/21/2019",3365,8361.293479285,0.2
"TJR_1","16","2118.032787",2019-12-21 01:27:00,3.365,2.118032787,"12/21/2019",3365,7127.180328255,0.2
"TJR_1","17","1828.26087",2019-12-21 02:27:00,3.23,1.82826087,"12/21/2019",3230,5905.2826101,0.2
"TJR_1","18","1371.666667",2019-12-21 03:27:00,3.23,1.371666667,"12/21/2019",3230,4430.48333441,0.2
