"Water.Year","mean.wy.totalP.all.mm","mean.wy.totalP.active.mm","sum.wy.totalP.all.mm","sum.wy.totalP.active.mm"
1951,215.531622190544,242.136939724907,9052.32813200286,2905.64327669888
1952,407.479281208591,471.8825397933,17114.1298107608,5662.5904775196
1953,203.83149615978,234.305745981964,8560.92283871074,2811.66895178357
1954,306.656944951352,345.003833729173,12879.5916879568,4140.04600475008
1955,221.516149830967,231.659571370593,9303.67829290063,2779.91485644711
1956,142.883626820197,167.896834872307,6001.11232644826,2014.76201846768
1957,266.436503341102,300.116221317558,11190.3331403263,3601.39465581069
1958,447.129329253748,516.840393833347,18779.4318286574,6202.08472600016
1959,360.152182870773,356.143829878665,15126.3916805725,4273.72595854398
1960,292.246411926872,301.624490928948,12274.3493009286,3619.49389114738
1961,185.014564233874,193.800887373989,7770.61169782269,2325.61064848787
1962,355.170641767741,414.235211788759,14917.1669542451,4970.82254146511
1963,229.288954765295,247.275340736073,9630.13610014237,2967.30408883287
1964,282.438145246251,301.381209388964,11862.4021003425,3616.57451266757
1965,251.998019624992,298.255616242158,10583.9168242497,3579.0673949059
1966,351.74822124448,384.924556447028,14773.4252922682,4619.09467736433
1967,290.472868173844,323.401213561125,12199.8604633014,3880.8145627335
1968,259.521296764168,279.422123221154,10899.8944640951,3353.06547865384
1969,373.194105406377,447.947051353827,15674.1524270678,5375.36461624593
1970,226.785143530263,261.863993653333,9524.97602827102,3142.36792383999
1971,212.367785101939,227.591002015647,8919.44697428142,2731.09202418776
1972,150.578869114326,159.286359618936,6324.31250280167,1911.43631542723
1973,375.37632904934,410.449386754792,15765.8058200723,4925.3926410575
1974,219.516619659206,234.886846273546,9219.69802568666,2818.64215528255
1975,289.197978738825,336.572241961084,12146.3151070306,4038.86690353301
1976,363.26541679496,393.116346725486,15257.1475053883,4717.39616070583
1977,256.994676769725,288.519801245013,10793.7764243284,3462.23761494016
1978,570.138286872295,673.188679710641,23945.8080486364,8078.26415652769
1979,499.175099846713,548.329091126178,20965.3541935619,6579.94909351413
1980,593.964214984938,685.883129934996,24946.4970293674,8230.59755921996
1981,238.065055991965,263.093194232804,9998.73235166253,3157.11833079364
1982,449.338563528602,494.493184709591,18872.2196682013,5933.91821651509
1983,691.722743413587,776.261343930099,29052.3552233707,9315.13612716119
1984,376.720986094626,371.810131071838,15822.2814159743,4461.72157286205
1985,324.560471472238,360.834263276991,13631.539801834,4330.0111593239
1986,413.57456642528,450.301158020138,17370.1317898617,5403.61389624165
1987,280.440153054374,318.816375626232,11778.4864282837,3825.79650751478
1988,398.979853105823,424.966280244353,16757.1538304446,5099.59536293223
1989,205.267953778215,216.866449208943,8621.25405868502,2602.39739050732
1990,245.931159118097,264.740006439732,10329.1086829601,3176.88007727679
1991,402.145104272332,441.999446503786,16890.0943794379,5303.99335804544
1992,424.149859115076,461.116139092464,17814.2940828332,5533.39366910957
1993,638.059122701786,718.167576906868,26798.483153475,8618.01092288241
1994,309.176243934028,342.321015106878,12985.4022452292,4107.85218128254
1995,522.091700524833,589.899011164098,21927.851422043,7078.78813396918
1996,199.862554792556,223.922708805678,8394.22730128736,2687.07250566814
1997,288.583982471248,307.05017886402,12120.5272637924,3684.60214636824
1998,534.992932360843,630.492335786612,22469.7031591554,7565.90802943935
1999,259.53547274613,272.771332857725,10900.4898553374,3273.25599429269
2000,160.172165857656,189.522222029392,6727.23096602153,2274.2666643527
2001,275.477445052476,299.652642055094,11570.052692204,3595.83170466112
2002,110.566386184551,125.190939700849,4643.78821975115,1502.29127641019
2003,369.971352925736,392.128248606449,15538.7968228809,4705.53898327738
2004,210.638619847922,225.107459549413,8846.82203361271,2701.28951459295
2005,581.065264540698,650.604477072445,24404.7411107093,7807.25372486934
2006,227.826787485771,264.470922312175,9568.72507440238,3173.6510677461
2007,144.11792756151,165.296183444128,6052.95295758341,1983.55420132954
2008,272.700316841912,292.495795639427,11453.4133073603,3509.94954767312
2009,272.874450281535,289.786729977743,11460.7269118245,3477.44075973292
2010,445.979394966716,486.020829189704,18731.1345886021,5832.24995027644
2011,413.642402759958,462.943341789064,17372.9809159182,5555.32010146877
2012,291.973455862403,311.571280024492,12262.8851462209,3738.85536029391
2013,297.221313479033,293.21457121268,12483.2951661194,3518.57485455215
2014,217.485990090177,221.448251545298,9134.41158378744,2657.37901854358
2015,297.992541360686,299.812878292213,12515.6867371488,3597.75453950655
2016,306.129381110506,337.542993802761,12857.4340066412,4050.51592563313
2017,441.734884798541,490.604799810729,18552.8651615387,5887.25759772875
2018,163.536837262821,163.13396997112,6868.54716503849,1957.60763965344
2019,441.734451141607,500.548770136202,18552.8469479475,6006.58524163443
2020,424.325614075333,488.665279968219,17821.675791164,5863.98335961862
2021,216.976071486764,234.891833328287,9112.99500244408,2818.70199993945
